system:index,GEOID,Year,sq_miles,.geo
00000000000000000068,270531012002,2021,"{groups=[{classification=0, sum=0.08096517000000018}, {classification=1, sum=0.04621616999999992}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,270530238023,2021,"{groups=[{classification=0, sum=0.09243234000000038}, {classification=1, sum=0.09173736000000036}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,270530106002,2021,"{groups=[{classification=0, sum=0.09208485000000037}, {classification=1, sum=0.07019298}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,270531067003,2021,"{groups=[{classification=0, sum=0.0757528200000001}, {classification=1, sum=0.00903474}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,270531039002,2021,"{groups=[{classification=0, sum=0.0521234999999999}, {classification=1, sum=0.00277992}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,270530258021,2021,"{groups=[{classification=0, sum=0.1657527300000016}, {classification=1, sum=0.3815440200000052}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,270530252052,2021,"{groups=[{classification=0, sum=0.1483782300000013}, {classification=1, sum=0.10841688000000065}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,270530267022,2021,"{groups=[{classification=0, sum=0.38571390000000527}, {classification=1, sum=0.07158294000000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,270530209031,2021,"{groups=[{classification=0, sum=0.22274109000000256}, {classification=1, sum=0.10667943000000062}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,270530216023,2021,"{groups=[{classification=0, sum=0.09555975000000043}, {classification=1, sum=0.12266397000000089}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,270530223021,2021,"{groups=[{classification=0, sum=0.0879149700000003}, {classification=1, sum=0.031274099999999964}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,270531013002,2021,"{groups=[{classification=0, sum=0.0510810299999999}, {classification=1, sum=0.023629319999999985}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,270531108004,2021,"{groups=[{classification=0, sum=0.06671807999999994}, {classification=1, sum=0.05872580999999988}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,270530269031,2021,"{groups=[{classification=0, sum=0.1772199000000018}, {classification=1, sum=0.10528947000000059}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,270530085001,2021,"{groups=[{classification=0, sum=0.047258639999999914}, {classification=1, sum=0.013899600000000008}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,270530081003,2021,"{groups=[{classification=0, sum=0.041003819999999934}, {classification=1, sum=0.019459439999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,270530068001,2021,"{groups=[{classification=0, sum=0.056988359999999884}, {classification=1, sum=0.0066023099999999975}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,270531069002,2021,"{groups=[{classification=0, sum=0.03370652999999996}, {classification=1, sum=0.006254819999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,270531226001,2021,"{groups=[{classification=0, sum=0.10980684000000067}, {classification=1, sum=0.08652501000000028}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,270531057002,2021,"{groups=[{classification=0, sum=0.034054019999999956}, {classification=1, sum=0.00138996}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,270530110002,2021,"{groups=[{classification=0, sum=0.04934357999999991}, {classification=1, sum=0.031274099999999964}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,270530006012,2021,"{groups=[{classification=0, sum=0.08339760000000022}, {classification=1, sum=0.06046325999999987}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,270531060003,2021,"{groups=[{classification=0, sum=0.031274099999999964}, {classification=1, sum=0.007644779999999997}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,270530083001,2021,"{groups=[{classification=0, sum=0.0820076400000002}, {classification=1, sum=0.020501909999999995}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
