system:index,CTU_NAME,Year,sq_miles,.geo
00000000000000000060,St. Bonifacius,2021,"{groups=[{classification=0, sum=0.6755205600000102}, {classification=1, sum=0.22899591000000266}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,Dellwood,2021,"{groups=[{classification=0, sum=0.6150573000000091}, {classification=1, sum=1.3479137100000214}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,New Trier,2021,"{groups=[{classification=0, sum=0.03683393999999995}, {classification=1, sum=0.026061749999999977}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,Coon Rapids,2021,"{groups=[{classification=0, sum=11.748636899994288}, {classification=1, sum=9.92153447999776}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,St. Paul,2021,"{groups=[{classification=0, sum=31.958307809955887}, {classification=1, sum=18.93195017998064}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,Minnetrista,2021,"{groups=[{classification=0, sum=7.441498350001045}, {classification=1, sum=6.266982150000275}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,Ravenna Twp.,2021,"{groups=[{classification=0, sum=3.1506918299993165}, {classification=1, sum=7.975242990001395}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,Sunfish Lake,2021,"{groups=[{classification=0, sum=0.3645170100000049}, {classification=1, sum=1.0605394800000165}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,St. Lawrence Twp.,2021,"{groups=[{classification=0, sum=2.8052867699995314}, {classification=1, sum=4.511462669999124}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,Burnsville,2021,"{groups=[{classification=0, sum=12.901956209992097}, {classification=1, sum=11.098483109995524}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,Vermillion Twp.,2021,"{groups=[{classification=0, sum=2.1610403099999322}, {classification=1, sum=1.7051334300000274}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,Centerville,2021,"{groups=[{classification=0, sum=0.962199810000015}, {classification=1, sum=0.8238987900000126}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,Hollywood Twp.,2021,"{groups=[{classification=0, sum=3.6138959999990283}, {classification=1, sum=2.5210399499997083}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
